minor_gid;major_id;minor_id;minor_name;registered_voters;votes
976;45;24;L. Ivinskio;2434;1143
977;45;25;Centro;1264;631
978;45;26;Gedimino;2844;1229
979;45;27;Pušyno;1733;759
980;45;28;Pavenčių;1363;579
981;45;29;Daugėlių;1889;813
982;45;30;Micaičių;902;385
983;45;31;Varputėnų;324;136
984;45;32;Gergždelių;306;154
985;45;33;Pakumulšių;425;176
986;45;34;Drąsučių;1458;426
987;45;35;Romučių;262;92
988;45;36;Sauginių;342;139
989;45;37;Raudėnų;700;302
990;45;38;Dirvonėnų;547;217
991;45;39;Šakynos;705;277
992;45;40;Žarėnų;512;147
993;46;1;Balsių;844;362
994;46;1;Žemaičių;3153;1432
995;46;2;Bardiškių;547;187
996;46;2;Livonijos;3235;1662
997;46;3;Degesių;206;103
998;46;3;V.Kudirkos;2773;1310
999;46;4;Degučių;274;118
1000;46;5;Bariūnų;803;309
1001;46;5;Draudelių;228;98
1002;46;6;Darginių;262;113
1003;46;6;Dvariškių;342;137
1004;46;7;Gačionių;290;125
1005;46;8;Gedučių;176;80
1006;46;9;Guostagalio;868;252
1007;46;10;Gasčiūnų;468;226
1008;46;10;Grikpėdžių;378;173
1009;46;11;Klovainių;801;352
1010;46;12;Kalpokų;376;151
1011;46;13;Kauksnųjų;204;69
1012;46;13;Plikiškių;479;209
1013;46;14;Kepalių;440;203
1014;46;14;Laipuškių;201;97
1015;46;15;Kirnaičių;371;199
1016;46;15;Linksmučių;307;136
1017;46;16;Kriukų;528;184
1018;46;16;Linkuvos;1766;799
1019;46;17;Linų;431;171
1020;46;18;Lygumų;639;319
1021;46;19;Mažeikonių;961;373
1022;46;19;Mindaugių;338;170
1023;46;20;Mikniūnų;307;144
1024;46;21;Medikonių;357;174
1025;46;21;Satkūnų;386;143
1026;46;22;Mikoliškio;211;99
1027;46;23;Naujamiesčio;3151;1521
1028;46;24;Pakruojo;2109;1019
1029;46;25;Bučiūnų;187;92
1030;46;25;Pamūšio;310;159
1031;46;26;Lieporų;213;95
1032;46;26;Pašvitinio;425;214
1033;46;27;Blauzdžiūnų;146;76
1034;46;27;Peleniškių;216;95
1035;46;28;Preičiūnų;253;127
1036;46;30;Plaučiškių;355;189
1037;46;31;Rimkūnų;180;83
1038;46;32;Rozalimo;975;475
1039;46;32;Skilvionių;160;88
1040;46;33;Stačiūnų;366;163
1041;46;33;Ziniūnų;316;132
1042;46;34;Sosdvario;148;66
1043;46;35;Šukionių;404;168
1044;46;36;Triškonių;400;154
1045;46;37;Ūdekų;351;175
1046;46;38;Žeimelio;1096;449
1047;46;39;Žvirblonių;389;183
1048;47;1;Geležių;652;322
1049;47;1;Joniškėlio;1141;579
1050;47;2;P.Vileišio;2601;1401
1051;47;2;Tiltagalių;806;372
1052;47;3;Kalno;2618;1399
1053;47;3;Karsakiškio;489;217
1054;47;4;Paliūniškio;545;273
1055;47;4;Vilniaus;2045;1043
1056;47;5;Daujėnų;612;302
1057;47;5;Piniavos;1577;791
1058;47;6;Bernatonių;1001;446
1059;47;6;Girsūdų;532;237
1060;47;7;Paįstrio;1399;570
1061;47;7;Švobiškio;508;230
1062;47;8;Daukniūnų;644;248
1063;47;8;Norgėlų;283;121
1064;47;9;Meškalaukio;533;228
1065;47;10;Nakiškių;659;302
1066;47;11;Narteikių;556;273
1067;47;12;Krinčino;714;353
1068;47;13;Gulbinėnų;281;134
1069;47;14;Pajiešmenių;894;378
1070;47;15;Papyvesių;811;417
1071;47;16;Talačkonių;521;232
1072;47;17;Ustukių;937;428
1073;47;18;Valakėlių;407;192
1074;47;19;Pumpėnų;985;435
1075;47;20;Jurgėnų;569;274
1076;47;20;Smilgių;646;294
1077;47;21;Kriklinių;439;198
1078;47;21;Sujėtų;333;141
1079;47;22;Perekšlių;545;227
1080;47;22;Rinkūnų;335;157
1081;47;23;Pušaloto;893;418
1082;47;24;Mikoliškio;618;243
1083;47;25;Deglėnų;216;126
1084;47;26;Kiemėnų;359;174
1085;47;27;Namišių;450;247
1086;47;28;Raubonių;705;319
