org_id;org_name
1;Lietuvos socialdemokratų partija
2;Lietuvos rusų sąjunga
3;Socialistinis liaudies frontas
4;Lietuvos centro partija
5;Tėvynės sąjunga - Lietuvos krikščionys demokratai
6;Naujoji sąjunga (socialliberalai)
7;Tautos vienybės sąjunga
8;Lietuvos lenkų rinkimų akcija
9;Tautos prisikėlimo partija
10;Koalicija Darbo partija + jaunimas
11;Lietuvos Respublikos liberalų sąjūdis
12;Lietuvos valstiečių ir žaliųjų sąjunga
13;Partija Tvarka ir teisingumas
14;Liberalų ir centro sąjunga
15;Partija Jaunoji Lietuva
16;Lietuvos socialdemokratų sąjunga
