minor_gid;major_id;minor_id;minor_name;registered_voters;votes
0;1;1;Kaštonų;1709;1099
1;1;2;Gedimino;1066;662
2;1;3;Saltoniškių;2505;1541
3;1;4;Sėlių;1624;882
4;1;5;Liubarto;1760;1105
5;1;6;Vytauto;1661;910
6;1;7;Birutės;1901;1179
7;1;8;Pamėnkalnio;1092;595
8;1;9;J.Jasinskio;1595;884
9;1;10;Taurakalnio;1751;1124
10;1;11;M.K.Čiurlionio;1366;771
11;1;12;S.Konarskio;2070;1310
12;1;13;Mindaugo;1725;992
13;1;14;Švitrigailos;1133;599
14;1;15;Vytenio;2793;1496
15;1;16;Naugarduko;3520;1762
16;1;17;Algirdo;2503;1057
17;1;18;Kauno;1513;644
18;2;51;Dailės;1559;818
19;2;52;Užupio;2626;1442
20;2;53;Aukštaičių;2736;1243
21;2;54;A.Juozapavičiaus;3104;1470
22;2;55;Didlaukio;3141;1752
23;2;56;Licėjaus;2829;1123
24;2;57;Senvagės;3344;1856
25;2;58;Žalgirio;3585;1741
26;2;59;Galerijos;2617;1061
27;2;60;S.Nėries;1262;618
28;2;61;Žinijos;1600;840
29;2;62;Naugarduko;1435;676
30;2;63;Žemaitijos;1537;864
31;2;64;Rotušės;1468;925
32;2;65;A.Vienuolio;1074;476
33;2;66;M.Daukšos;1402;712
34;2;67;F.Šopeno;2691;1183
35;3;101;Filaretų;2146;1090
36;3;102;Olandų;1202;676
37;3;103;P.Rimšos;2284;1417
38;3;104;L.Sapiegos;1910;1270
39;3;105;Šilo;3173;1877
40;3;106;P.Vileišio;2014;1146
41;3;107;Antakalnio;2142;1380
42;3;108;Žolyno;2013;842
43;3;109;Švyturio;1709;1061
44;3;110;A.Daukšos;1676;1189
45;3;111;B.Sruogos;2447;1656
46;3;112;Saulėtekio;2183;1082
47;3;113;Universiteto;1999;854
48;3;114;Subačiaus;1187;417
49;3;115;Markučių;1718;670
50;3;116;Liepkalnio;1521;705
51;3;117;Rasų;1140;372
52;3;118;Pelesos;3381;1306
53;3;119;Karačiūnų;560;163
54;3;120;Antavilio;491;313
55;3;121;Dvarčionių;1596;693
56;4;151;Žirmūnų;3234;1945
57;4;152;Kareivių;3110;1479
58;4;153;Prekybininkų;3521;1794
59;4;154;Miestelio;2802;1500
60;4;155;Moksleivių;3180;1714
61;4;156;Raitininkų;2071;1399
62;4;157;Sporto;2978;1886
63;4;158;Kazliškių;2318;1357
64;4;159;Rinktinės;2637;1659
65;4;160;Tuskulėnų;1798;1115
66;4;161;Trimitų;1937;1103
67;4;162;Minties;2209;1313
68;4;163;Asiūklių;1663;940
69;4;164;Apkasų;1897;996
70;4;165;Verkių;1430;796
71;4;166;Kalvarijų;2298;1292
72;5;201;Popieriaus;1803;665
73;5;202;Mokyklos;5896;3071
74;5;203;Baltupių;3984;1787
75;5;204;Gabijos;4007;2019
76;5;205;Fabijoniškių;3820;2037
77;5;206;Jovaro;3757;2067
78;5;207;S.Stanevičiaus;2562;1318
79;5;208;Kaimelio;2445;1212
80;5;209;L.Giros;4181;2052
81;5;210;P.Žadeikos;3757;1955
82;5;211;Gedvydžių;3907;1859
83;6;251;Ozo;3628;1934
84;6;252;Viršuliškių;2160;1055
85;6;253;Lūžių;2388;1253
86;6;254;Mokslo;2457;1299
87;6;255;Čiobiškio;4022;2110
88;6;256;Musninkų;3548;1872
89;6;257;Dūkštų;3174;1775
90;6;258;Šeškinės;2796;1490
91;6;259;Ukmergės;3631;1746
92;6;260;Žygimanto Augusto;2023;1023
93;6;261;Paberžės;1631;853
94;6;262;Gelvonų;3003;1619
95;6;263;Širvintos;1915;1078
96;6;264;Radvilų;2816;1534
97;7;301;Rygos;3750;1795
98;7;302;Taikos;4276;2228
99;7;303;Justiniškių;3845;1930
100;7;304;M. Biržiškos;3981;2241
101;7;305;Statybininkų;3808;1969
102;7;306;Sietuvos;3387;1828
103;7;307;Žemynos;3473;1790
104;7;308;Medeinos;3744;1774
105;7;309;Pašilaičių;4152;2397
106;7;310;Pilaitės;6463;3536
107;8;351;Tujų;2896;1616
108;8;352;Sausio 13-sios;2822;1687
109;8;353;Bokšto;3016;1856
110;8;354;Ąžuolo;1926;1210
111;8;355;L.Asanavičiūtės;1653;995
112;8;356;V.Maciulevičiaus;2189;1381
113;8;357;V.Druskio;1889;1005
114;8;358;Dovanos;1750;992
115;8;359;R.Jankausko;1601;926
116;8;360;A.J.Povilaičio;1948;1215
117;8;361;A.P.Kavoliuko;2020;1203
118;8;362;Poliklinikos;1835;1057
119;8;363;Merkurijaus;2084;1220
120;8;364;Laisvės;2211;1218
121;8;365;I.Šimulionio;1959;998
122;8;366;V.Vaitkaus;1878;1074
123;8;367;Saturno;2228;1165
124;8;368;D.Gerbutavičiaus;1710;976
125;9;401;Vingio;2884;1481
126;9;402;G.Vilties;1775;871
127;9;403;Geležinio vilko;1197;522
128;9;404;Žemaitės;1648;913
129;9;405;Gluosnio;1802;1023
130;9;406;Seniūnijos;1856;977
131;9;407;Skroblų;2599;1310
132;9;408;Mados;1548;720
133;9;409;Pramonės;495;165
134;9;410;Riešuto;1851;1144
135;9;411;Titnago;3479;1390
136;9;412;A.Panerių;1417;501
137;9;413;Bukčių;2607;1373
138;9;414;Akacijų;3672;2318
139;9;415;Oslo;3652;2098
140;9;416;Žėručio;4406;2618
141;9;417;Paparčio;2152;1290
142;10;451;Salininkų;1318;377
143;10;452;Lietuvių namų;2038;835
144;10;453;Dzūkų;1435;542
145;10;454;Kapsų;1707;759
146;10;455;Dariaus ir Girėno;2204;859
147;10;456;Kaminkelio;2551;896
148;10;457;Naujininkų;2010;1075
149;10;458;Brolių;2227;1070
150;10;459;Gimnazijos;2150;893
151;10;460;Kirtimų;1257;318
152;10;461;Palydovo;1466;421
153;10;462;Rugiagėlių;1616;507
154;10;463;A.Kojelavičiaus;958;275
155;10;464;Dūmų;1464;411
156;10;465;Genių;2207;890
157;10;466;Pergalės;2062;777
158;10;467;Darželio;2385;910
159;10;468;Karklėnų;2796;997
160;10;469;J.Kolaso;1836;777
161;10;470;Parko;3393;1239
162;10;471;Pramonės;1159;320
163;11;1;Gamyklos;1811;1075
164;11;2;Sargėnų;1230;784
165;11;3;Vėtrungės;3528;2042
166;11;4;Rasytės;2954;1580
167;11;5;Šarkuvos;1885;1001
168;11;6;Kuršių;2679;1461
169;11;7;Žemaičių;4007;2087
170;11;8;Baltų;3473;1895
171;11;9;Baltijos;3923;2109
172;11;10;Žiemgalių;2976;1578
173;11;11;Milikonių;2408;1394
174;11;12;Demokratų;2568;1607
175;11;13;Linkuvos;3570;2190
176;12;14;Neries;2114;1213
177;12;15;Sąjungos;1923;1145
178;12;16;Dobilo;2663;1422
179;12;17;Apvijos;1168;590
180;12;18;Apuolės;2143;1123
181;12;19;Seredžiaus;1247;497
182;12;20;Tilžės;493;219
183;12;21;Veršvų;1045;578
184;12;22;Žagarės;1447;721
185;12;23;Lampėdžių;546;328
186;12;24;Kaniūkų;2584;1297
187;12;25;Akademijos;1610;942
188;12;26;H. ir O Minkovskių;1011;512
189;12;27;J. Dobkevičiaus;2774;1466
190;12;28;Veiverių;1797;1183
191;12;29;Ančios;1118;653
192;12;30;Julijanavos;3179;2114
193;12;31;Piliakalnio;2355;1104
194;12;121;Ąžuolo;3217;1766
195;13;32;Muitinės;1050;618
196;13;33;Tekstilininkų;1256;743
197;13;34;Konservatorijos;635;349
198;13;36;Maironio;1854;1046
199;13;37;A. Mackevičiaus;2710;1494
200;13;38;Varpo;1931;1230
201;13;39;Ryšių;2429;1555
202;13;40;Radvilėnų;3388;2115
203;13;41;A. Baranausko;1074;681
204;13;42;J. Jablonskio;2595;1602
205;13;43;Aušros;3140;1875
206;13;45;Senojo tresto;2072;1214
207;13;46;Gedimino;1694;935
208;13;47;Sporto;2303;1324
209;13;48;Kultūros;1894;1120
210;13;49;Miško;1462;926
211;14;50;Jonavos;940;490
212;14;51;Saulės;1704;1069
213;14;52;L. Karsavino;2745;1829
214;14;53;Tvirtovės;2532;1515
215;14;54;Algirdo;1421;1045
216;14;55;Sukilėlių;2068;1208
217;14;56;Purienų;3020;1592
218;14;57;Vilties;2208;1134
219;14;58;Žeimenos;3100;1789
220;14;59;Linelio;3148;1550
221;14;60;Versmės;2508;1355
222;14;61;Gerovės;2424;1438
223;14;62;M. Jankaus;2285;1382
224;14;63;S. Nėries;2024;1150
225;15;64;Aukuro;3633;2123
226;15;65;Vaidilutės;1962;1063
227;15;66;Šiaurės;3909;2149
228;15;67;S. Žukausko;3545;1973
229;15;68;Statybininkų;3669;2046
230;15;69;Rasos;2321;1289
231;15;70;P. Plechavičiaus;3911;2250
232;15;71;K. Škirpos;3575;1961
233;15;72;P. Lukšio;3363;2014
234;15;73;Mokyklos;3220;1960
235;15;74;Kelininkų;2258;1563
236;16;75;Amatininkų;2646;1438
237;16;76;Dailės;2507;1505
238;16;77;Buitininkų;2270;1080
239;16;78;Partizanų;2449;1501
240;16;79;Pramonės;3114;1464
241;16;80;Dainavos;2479;1547
242;16;81;J. Urbšio;2803;1432
243;16;82;Sartų;3398;1988
244;16;83;A. Timinskio;3209;1830
245;16;84;Nepriklausomybės;2759;1685
246;16;85;Vytauto;3499;2014
247;16;86;Atžalyno;3015;1885
248;16;87;Savanorių;2567;1523
249;17;88;V. Krėvės;3111;1756
250;17;89;Specialistų;2889;1588
251;17;90;Miškotvarkos;4056;1981
252;17;91;Taikos;1593;825
253;17;92;Vyturio;3001;1834
254;17;93;Butrimonių;3129;1719
255;17;94;Studentų;1439;729
256;17;95;Gričiupio;1328;615
257;17;96;Dujotiekio;2408;1485
258;17;97;Girstučio;2794;1826
259;17;98;Pašilės;3589;2338
260;17;99;Knygnešių;2422;1282
261;17;101;Palemono;1411;801
262;17;102;Pamario;2376;1073
263;18;103;Karmelitų;1017;448
264;18;104;Parko;1404;668
265;18;105;Sodų;2073;1147
266;18;106;Šančių;2476;1096
267;18;107;Drobės;2609;1411
268;18;108;Skuodo;2598;1707
269;18;109;Žiburio;2860;1597
270;18;110;Breslaujos;3006;1605
271;18;111;Nemuno;2646;1422
272;18;112;Tunelio;3287;1819
273;18;113;Naglio;2142;1066
274;18;114;Šilo;2121;1065
275;18;115;Giraitės;454;430
276;18;116;Buriuotojų;1833;913
277;18;117;Vaidoto;2998;1353
278;18;118;Pušų;2026;1114
279;18;119;Kurtinių;605;416
280;18;120;Vičiūnų;2097;1328
281;19;1;Gimnazijos;3892;2109
282;19;4;Danės;1396;872
283;19;5;Eglės;2099;1159
284;19;6;Dviračių Treko;2923;1614
285;19;7;Kretingos;1605;938
286;19;8;Šviesos;2399;1448
287;19;9;Muzikos Centro;1303;703
288;19;10;Žaliakalnio;1619;904
289;19;16;Baltikalnio;1667;934
