minor_gid;major_id;minor_id;minor_name;registered_voters;votes
0;1;1;Kaštonų;1651;946
1;1;2;Gedimino;1158;859
2;1;3;Saltoniškių;2479;1622
3;1;4;Sėlių;1317;789
4;1;5;Liubarto;1606;1114
5;1;6;Vytauto;1577;974
6;1;7;Birutės;1892;1215
7;1;8;Pamėnkalnio;1020;680
8;1;9;J.Jasinskio;1084;704
9;1;10;Taurakalnio;1560;1051
10;1;11;M.K.Čiurlionio;1208;772
11;1;12;S.Konarskio;2172;1456
12;1;13;Mindaugo;1533;966
13;1;14;Švitrigailos;961;619
14;1;15;Vytenio;2435;1534
15;1;16;Naugarduko;3288;1834
16;1;17;Algirdo;2253;1197
17;1;18;Kauno;1397;679
18;1;457;Naujininkų;1946;1253
19;1;458;Brolių;2208;1276
20;1;459;Gimnazijos;1996;1081
21;2;51;Dailės;1214;721
22;2;52;Užupio;2471;1522
23;2;53;Aukštaičių;2629;1400
24;2;54;A.Juozapavičiaus;2739;1659
25;2;55;Didlaukio;3094;2007
26;2;56;Licėjaus;2670;1365
27;2;57;Senvagės;3151;1933
28;2;58;Žalgirio;3516;1968
29;2;59;Galerijos;2277;1178
30;2;60;S.Nėries;962;576
31;2;61;Žinijos;1265;792
32;2;62;Naugarduko;1301;767
33;2;63;Žemaitijos;1374;880
34;2;64;Rotušės;1264;876
35;2;65;A.Vienuolio;884;484
36;2;66;M.Daukšos;1221;717
37;2;67;F.Šopeno;2537;1321
38;2;203;Baltupių;3772;2164
39;3;101;Filaretų;2492;1474
40;3;102;Olandų;872;557
41;3;103;P.Rimšos;2245;1534
42;3;104;L.Sapiegos;1864;1271
43;3;105;Šilo;2932;2019
44;3;106;P.Vileišio;1876;1216
45;3;107;Antakalnio;1967;1390
46;3;108;Žolyno;1814;1031
47;3;109;Švyturio;1599;1049
48;3;110;A.Daukšos;1560;1138
49;3;111;B.Sruogos;2422;1751
50;3;112;Saulėtekio;2674;1348
51;3;113;Universiteto;2005;982
52;3;114;Subačiaus;1079;528
53;3;115;Markučių;1844;861
54;3;116;Liepkalnio;1629;844
55;3;117;Rasų;1115;503
56;3;118;Pelesos;3491;1741
57;3;119;Karačiūnų;605;302
58;3;120;Antavilio;648;414
59;3;121;Dvarčionių;2118;1193
60;4;151;Žirmūnų;3005;1947
61;4;152;Kareivių;2857;1715
62;4;153;Prekybininkų;3284;1909
63;4;154;Miestelio;2599;1584
64;4;155;Moksleivių;2950;1808
65;4;156;Raitininkų;2023;1377
