minor_gid,org_id,votes
0,1,484
0,15,458
0,4,147
0,6,101
0,14,99
0,10,85
0,7,36
0,8,36
0,12,28
0,13,24
0,3,24
0,16,12
0,2,12
0,9,5
0,11,4
0,17,4
0,5,1
1,15,442
1,1,267
1,4,88
1,14,66
1,6,50
1,10,36
1,3,26
1,8,26
1,7,19
1,13,15
1,12,11
1,2,5
1,16,2
1,9,2
1,17,1
1,11,1
1,5,0
2,15,586
2,1,482
2,14,140
2,4,133
2,6,86
2,7,82
2,10,72
2,8,58
2,13,28
2,3,26
2,12,16
2,16,14
2,9,11
2,17,8
2,2,6
2,5,5
2,11,2
3,15,490
3,1,369
3,6,155
3,4,132
3,10,127
3,14,119
3,8,111
3,7,60
3,13,29
3,3,22
3,12,20
3,16,15
3,17,11
3,9,9
3,2,3
3,5,3
3,11,0
4,15,530
4,1,451
4,4,112
4,14,98
4,10,84
4,6,52
4,7,33
4,8,31
4,3,20
4,12,15
4,13,6
4,2,5
4,9,4
4,17,3
4,16,2
4,5,0
4,11,0
5,15,428
5,1,332
5,14,110
5,4,81
5,7,72
5,6,57
5,10,54
5,8,22
5,3,21
5,13,17
5,16,8
5,12,7
5,9,3
5,2,2
5,5,1
5,17,1
5,11,0
6,15,459
6,1,377
6,4,135
6,14,115
6,6,73
6,10,72
6,7,62
6,8,41
6,3,21
6,12,19
6,13,11
6,17,4
6,16,3
6,2,3
6,5,3
6,9,2
6,11,0
7,1,338
7,15,263
7,4,71
7,14,71
7,10,55
7,6,50
7,7,27
7,8,25
7,3,23
7,13,14
7,12,9
7,16,7
7,9,4
7,17,4
7,11,3
7,2,2
7,5,0
8,15,265
8,1,159
8,6,54
8,4,46
8,10,35
8,7,35
8,14,34
8,8,20
8,12,14
8,3,11
8,13,8
8,2,6
8,16,5
8,17,4
8,9,3
8,5,2
8,11,0
9,15,254
9,1,181
9,6,43
9,4,40
9,14,39
9,10,22
9,7,14
9,13,13
9,8,13
9,16,10
9,12,7
9,2,7
9,9,7
9,3,6
9,17,5
9,11,0
9,5,0
10,15,676
10,1,318
10,4,152
10,14,123
10,6,78
10,10,63
10,8,60
10,16,17
10,12,17
10,7,16
10,13,14
10,2,13
10,3,11
10,9,5
10,17,3
10,5,0
10,11,0
11,15,381
11,1,193
11,4,124
11,6,121
11,10,82
11,14,71
11,8,66
11,12,28
11,13,19
11,7,17
11,3,13
11,17,12
11,9,7
11,16,5
11,2,2
11,5,1
11,11,0
12,15,634
12,1,306
12,4,166
12,6,91
12,14,87
12,10,74
12,7,45
12,8,37
12,13,21
12,3,16
12,12,14
12,17,6
12,16,3
12,9,3
12,5,2
12,2,2
12,11,0
13,15,577
13,1,393
13,14,111
13,4,76
13,7,50
13,10,50
13,6,49
13,8,38
13,13,33
13,3,19
13,12,8
13,2,7
13,16,6
13,9,5
13,17,5
13,5,1
13,11,0
14,15,394
14,1,165
14,4,66
14,14,63
14,6,42
14,7,31
14,10,13
14,8,10
14,12,9
14,3,9
14,13,8
14,2,6
14,9,3
14,11,1
14,16,1
14,17,1
14,5,0
15,15,949
15,1,433
15,4,176
15,14,161
15,6,89
15,7,89
15,10,43
15,8,28
15,3,22
15,13,20
15,12,16
15,2,12
15,17,9
15,16,7
15,5,4
15,9,2
15,11,0
16,15,399
16,1,231
16,14,136
16,4,71
16,7,42
16,6,38
16,8,20
16,13,13
16,16,12
16,10,12
16,3,7
16,2,7
16,12,5
16,9,4
16,5,2
16,11,0
16,17,0
17,15,530
17,1,388
17,14,94
17,4,72
17,7,45
17,13,39
17,8,31
17,6,28
17,10,16
17,3,15
17,16,13
17,9,9
17,12,7
17,2,4
17,5,1
17,11,0
17,17,0
18,15,573
18,1,351
18,4,124
18,14,106
18,6,66
18,7,65
18,8,41
18,3,40
18,10,27
18,16,17
18,12,13
18,13,13
18,2,12
18,17,9
18,5,6
18,11,3
18,9,3
19,15,470
19,1,196
19,4,71
19,7,53
19,14,52
19,6,33
19,8,24
19,10,20
19,3,16
19,13,11
19,2,8
19,12,6
19,9,3
19,17,2
19,16,1
19,5,1
19,11,0
20,15,395
20,1,364
20,14,117
20,4,55
20,7,52
20,8,52
20,3,49
20,10,46
20,6,32
20,12,13
20,13,12
20,2,7
20,17,6
20,16,4
20,11,1
20,5,1
20,9,0
21,15,563
21,1,474
21,14,120
21,4,120
21,7,93
21,6,65
21,8,58
21,10,48
21,5,43
21,13,22
21,3,19
21,17,14
21,16,13
21,12,13
21,2,8
21,9,5
21,11,3
22,15,407
22,1,151
22,14,57
22,7,48
22,8,34
22,4,27
22,6,17
22,3,12
22,13,10
22,10,10
22,2,7
22,12,5
22,16,4
22,17,4
22,5,3
22,9,3
22,11,0
23,15,870
23,1,473
23,4,149
23,14,147
23,6,91
23,7,87
23,8,76
23,10,68
23,13,29
23,3,22
23,12,18
23,17,17
23,2,14
23,9,10
23,5,4
23,16,4
23,11,1
24,15,781
24,1,390
24,14,115
24,4,112
24,7,96
24,8,89
24,6,84
24,10,55
24,13,43
24,3,41
24,17,22
24,12,19
24,2,11
24,5,8
24,16,6
24,9,6
24,11,1
25,15,960
25,1,612
25,14,135
25,7,127
25,4,119
25,6,84
25,8,78
25,10,69
25,13,55
25,12,29
25,3,24
25,17,21
25,16,16
25,2,14
25,9,6
25,5,5
25,11,3
26,1,766
26,15,714
26,14,157
26,7,143
26,4,123
26,8,89
26,6,80
26,10,50
26,13,40
26,12,32
26,3,31
26,17,20
26,16,18
26,2,11
26,5,4
26,9,1
26,11,0
27,15,709
27,1,312
27,7,95
27,14,86
27,4,80
27,6,56
27,8,38
27,13,26
27,10,24
27,3,20
27,17,19
27,12,14
27,2,6
27,16,6
27,9,2
27,5,0
27,11,0
28,15,433
28,1,337
28,14,88
28,4,60
28,7,48
28,8,45
28,6,40
28,10,38
28,12,12
28,13,11
28,2,10
28,16,10
28,17,6
28,3,5
28,9,4
28,11,1
28,5,0
29,15,514
29,1,352
29,14,81
29,4,79
29,6,71
29,7,52
29,8,43
29,10,30
29,13,24
29,3,22
29,2,20
29,12,10
29,16,7
29,17,5
29,11,3
29,9,2
29,5,2
30,15,443
30,1,212
30,7,67
30,4,63
30,14,56
30,6,56
30,10,38
30,8,30
30,13,22
30,3,20
30,12,14
30,2,9
30,17,7
30,9,3
30,16,1
30,11,0
30,5,0
31,15,331
31,1,324
31,14,91
31,6,55
31,4,51
31,7,46
31,8,44
31,10,42
31,13,23
31,3,15
31,12,15
31,16,7
31,9,6
31,17,5
31,2,3
31,5,0
31,11,0
32,15,419
32,1,325
32,4,91
32,6,75
32,14,68
32,7,46
32,10,44
32,8,43
32,3,18
32,13,14
32,12,14
32,2,7
32,17,5
32,9,3
32,16,2
32,11,0
32,5,0
33,15,378
33,1,159
33,7,67
33,14,55
33,4,39
33,6,30
33,8,22
33,13,11
33,2,11
33,10,10
33,3,7
33,5,4
33,12,4
33,16,4
33,11,3
33,9,3
33,17,3
34,15,364
34,1,174
34,7,65
34,4,52
34,14,47
34,8,21
34,3,18
34,10,17
34,6,17
34,13,9
34,16,8
34,2,4
34,17,3
34,9,3
34,5,3
34,12,2
34,11,1
35,15,328
35,1,108
35,4,43
35,7,32
35,14,28
35,10,17
35,3,10
35,2,9
35,8,8
35,6,7
35,17,4
35,9,1
35,13,1
35,12,1
35,5,1
35,16,1
35,11,0
36,15,765
36,1,373
36,14,117
36,7,99
36,4,80
36,6,48
36,8,36
36,3,26
36,10,25
36,13,23
36,2,19
36,12,16
36,16,16
36,17,11
36,9,4
36,11,1
36,5,0
37,15,539
37,1,417
37,7,128
37,4,88
37,14,74
37,6,74
37,8,58
37,10,55
37,3,17
37,12,15
37,13,14
37,9,6
37,17,6
37,16,6
37,2,4
37,5,3
37,11,0
38,15,249
38,1,246
38,4,70
38,6,48
38,10,41
38,7,38
38,14,33
38,8,28
38,13,19
38,3,12
38,12,12
38,17,5
38,5,3
38,2,1
38,9,1
38,16,1
38,11,0
39,15,656
39,1,455
39,4,171
39,10,85
39,6,77
39,14,63
39,7,50
39,8,43
39,3,31
39,12,21
39,13,19
39,16,13
39,17,11
39,2,9
39,5,3
39,9,1
39,11,0
40,15,587
40,1,371
40,4,107
40,6,78
40,7,75
40,10,58
40,14,58
40,8,37
40,12,27
40,3,19
40,13,15
40,2,13
40,16,9
40,17,8
40,9,3
40,11,1
40,5,1
41,15,874
41,1,652
41,4,197
41,10,135
41,14,106
41,6,88
41,7,73
41,8,48
41,16,32
41,3,31
41,13,29
41,12,28
41,2,21
41,17,8
41,9,7
41,5,3
41,11,2
42,15,578
42,1,460
42,4,102
42,10,82
42,7,59
42,14,47
42,8,45
42,6,43
42,3,37
42,13,17
42,12,11
42,2,9
42,16,9
42,9,5
42,17,5
42,11,0
42,5,0
43,15,629
43,1,576
43,4,144
43,14,86
43,6,77
43,10,76
43,8,63
43,7,41
43,3,34
43,13,23
43,12,16
43,16,9
