minor_gid;major_id;minor_id;minor_name;registered_voters;votes
1503;58;20;Mačiuliškių;498;244
1504;58;21;Rykantų;481;165
1505;58;22;Dusmenų;472;280
1506;58;23;Onuškio;1149;699
1507;58;24;Gražuškų;175;118
1508;58;24;Vaickūniškių;489;271
1509;58;26;Beižonių;376;189
1510;58;27;Bijūnų;721;284
1511;58;28;Daugirdiškių;388;202
1512;58;29;Semeliškių;703;552
1513;58;32;Apylinkė Nr. 32;900;331
1514;58;33;Bražuolės;592;225
1515;58;34;Žaizdrių;639;202
1516;58;35;Jovariškių;263;128
1517;58;38;Kazokiškių;457;143
1518;58;39;Pastrėvio;761;396
1519;58;40;Salkininkų;342;271
1520;58;43;Ausieniškių;1636;0
1521;58;44;Balceriškių;1428;471
1522;60;1;Jonavos miesto;2254;1545
1523;60;2;Apylinkė Nr. 2;2716;1578
1524;60;3;Apylinkė Nr. 3;2234;1441
1525;60;4;Apylinkė Nr. 4;1786;1337
1526;60;5;Apylinkė Nr. 5;1421;913
1527;60;6;Apylinkė Nr. 6;1126;700
1528;60;7;Apylinkė Nr. 7;1838;1299
1529;60;8;Apylinkė Nr. 8;1976;1355
1530;60;9;Apylinkė Nr. 9;1726;1191
1531;60;10;Apylinkė Nr. 10;1244;898
1532;60;11;Apylinkė Nr. 11;2171;1490
1533;60;12;Apylinkė Nr. 12;1772;1154
1534;60;13;Apylinkė Nr. 13;1588;1101
1535;60;15;Bukonių;557;356
1536;60;16;Liepių;540;259
1537;60;17;Batėgalos;421;200
1538;60;18;Čičinų;660;319
1539;60;19;Kulvos;550;254
1540;60;20;Juškonių;366;224
1541;60;21;Apylinkė Nr. 21;493;296
1542;60;22;Žeimių;972;614
1543;60;23;Panoterių;568;307
1544;60;24;Šilų;844;397
1545;60;25;Upninkų;1369;640
1546;60;26;Užusalių;1352;676
1547;60;27;Apylinkė Nr. 27;1079;618
1548;61;1;S.Daukanto;1369;1163
1549;61;2;Anykščių;1302;1089
1550;61;3;Dukstynos;1165;954
1551;61;3;Maironio;1960;1625
1552;61;4;J.Basanavičiaus;1149;889
1553;61;5;Vytauto;1235;984
1554;61;6;Kęstučio;774;609
1555;61;7;Klaipėdos;1084;839
1556;61;8;Transporto;973;721
1557;61;9;Kauno;1289;959
1558;61;10;Smėlių;1429;1149
1559;61;11;Krekšlių;2167;1659
1560;61;12;Linų;2885;2297
1561;61;13;Pivonijos;2230;1790
1562;61;14;Pašilės;934;727
1563;61;15;Siesikų;693;517
1564;61;16;Petronių;486;348
1565;61;17;Tulpiakiemio;388;271
1566;61;18;Taujėnų;774;534
1567;61;19;Balelių;440;300
1568;61;20;Lėno;387;317
1569;61;21;Vidiškių;1555;1082
1570;61;22;Rečionių;804;617
1571;61;23;Deltuvos;938;632
1572;61;24;Dainavos;725;551
1573;61;25;Jakutiškių;573;267
1574;61;26;Atkočių;353;279
1575;61;26;Lyduokių;612;463
1576;61;27;Nuotekų;465;329
1577;61;28;Pabaisko;575;304
1578;61;29;Kulniškių;512;321
1579;61;32;Antakalnio;417;268
1580;61;32;Apylinkė Nr. 32;498;375
1581;61;33;Butkūnų;584;435
1582;61;33;Krikštėnų;390;216
1583;61;34;Laičių;678;497
1584;61;35;Veprių;684;512
1585;61;36;Sližių;357;245
1586;61;37;Želvos;720;551
1587;61;38;Laumėnų;331;250
1588;61;39;Tolučių;315;240
1589;61;42;Apylinkė Nr. 42;547;360
1590;61;43;Valų;408;302
1591;62;1;Viešvilės;909;657
1592;62;2;Smalininkų;486;381
1593;62;2;Vidkiemio;721;452
1594;62;3;Jurbarkų;1315;915
1595;62;4;Rotulių;580;427
1596;62;5;Žindaičių;652;366
1597;62;6;Eržvilko;622;420
1598;62;7;Pašaltuonio;386;324
1599;62;8;Lybiškių;623;445
1600;62;9;Kartupių;554;314
1601;62;10;Rutkiškių;384;226
1602;62;11;Pavidaujo;430;254
1603;62;12;Girdžių;789;501
1604;62;13;Vadžgirio;591;364
1605;62;14;Paskynų;222;169
1606;62;14;Šimkaičių;396;280
1607;62;16;Volungiškės;394;223
1608;62;17;Juodaičių;456;361
1609;62;17;Mituvos;330;252
1610;62;18;Armeniškių;442;276
1611;62;19;Seredžiaus;892;551
1612;62;20;Klausučių;1083;719
1613;62;21;Gricių;209;145
1614;62;22;Tamošių;1749;1588
1615;62;23;Veliuonos;827;687
1616;62;24;Skaudvilės;440;302
1617;62;24;Stakių;391;239
1618;62;25;Adakavo;1048;728
1619;62;25;Raudonės;1146;696
1620;62;26;Pilies;660;400
1621;62;26;Trepų;440;385
1622;62;27;Skirsnemunės;1196;857
1623;62;27;Vaidilų;636;487
1624;62;30;Apylinkė Nr. 30;2631;1991
1625;62;31;Apylinkė Nr. 31;2234;1712
1626;62;32;Apylinkė Nr. 32;2677;2096
1627;62;33;Apylinkė Nr. 33;2644;1930
1628;63;1;Kazlų Rūdos;1116;761
1629;63;2;Kazlų Rūdos;2351;1617
1630;63;3;Kazlų Rūdos;1482;956
1631;63;4;Brukų;303;220
1632;63;4;Kazlų Rūdos;459;351
1633;63;5;Gudelių;626;451
1634;63;6;Antanavo;678;472
1635;63;6;Daugirdų;300;209
1636;63;7;Igliaukos;1063;705
1637;63;8;Šventragio;412;291
1638;63;9;Daukšių;270;214
1639;63;10;Varnupių;212;133
1640;63;11;Višakio Rūdos;525;353
1641;63;12;Jūrės;564;318
1642;63;13;Bebruliškių;318;191
1643;63;14;Bagotosios;548;397
1644;63;15;Apylinkė Nr. 15;380;237
1645;63;16;Apylinkė Nr. 16;916;645
1646;63;17;Plutiškių;547;326
1647;63;18;Dženčialaukos;255;205
1648;63;19;Puskelnių;492;370
1649;63;20;Sasnavos;786;428
1650;63;21;Gavaltuvos;410;236
1651;63;23;Apylinkė Nr. 23;478;311
1652;63;24;Mokolų;980;671
1653;63;25;Šunskų;793;544
1654;63;26;Meškučių;852;582
1655;63;27;Apylinkė Nr. 27;761;474
1656;63;28;Valavičių;566;428
1657;63;29;Baraginės;1049;661
