minor_gid;major_id;minor_id;minor_name;registered_voters;votes
0;1;2;Gedimino;4736;2537
1;1;3;Saltoniškių;2876;1870
2;1;4;Sėlių;1282;722
3;1;5;Liubarto;1481;988
4;1;6;Vytauto;1410;859
5;1;7;Birutės;1852;1254
6;1;8;Pamėnkalnio;951;564
7;1;10;Taurakalnio;1426;943
8;1;12;S. Konarskio;3386;2185
9;1;13;Mindaugo;2234;1281
10;1;15;Vytenio;2153;1247
11;1;16;Naugarduko;2790;1401
12;1;17;Algirdo;3309;1607
13;1;457;Naujininkų;1743;945
14;1;458;Brolių;2163;994
15;1;459;Gimnazijos;1806;818
16;2;51;Dailės;1012;605
17;2;52;Užupio;2421;1490
18;2;53;A. Krutulio;3348;1972
19;2;54;A. Juozapavičiaus;3114;1713
20;2;55;Didlaukio;3937;2268
21;2;56;Licėjaus;3251;1480
22;2;57;Senvagės;3860;2170
23;2;59;V. Sirokomlės;4554;2747
24;2;60;S. Nėries;1789;1048
25;2;62;Naugarduko;2710;1671
26;2;65;A.Vienuolio;1780;1089
27;2;66;M. Daukšos;3232;1608
28;2;67;V. Šopeno;2288;1118
29;2;203;Baltupių;3243;2007
30;3;101;Filaretų;2605;1595
31;3;102;Olandų;847;522
32;3;104;L. Sapiegos;3940;2506
33;3;105;Šilo;3148;2076
34;3;107;Antakalnio;3315;2014
35;3;109;Švyturio;3524;2011
36;3;111;B. Sruogos;3602;2398
37;3;112;Saulėtekio;3662;2269
38;3;115;Markučių;2802;1210
39;3;116;Liepkalnio;4188;1822
40;3;119;Karačiūnų;1587;872
41;3;120;Antavilių;903;587
42;3;200;Balsių;4229;2516
43;3;201;Popieriaus;2498;1151
44;4;24;Muitininkų;4858;2937
45;4;151;Žirmūnų;2592;1480
46;4;152;Kareivių;2605;1343
47;4;153;Prekybininkų;2980;1650
48;4;154;Miestelio;2299;1197
49;4;155;Moksleivių;2565;1347
50;4;156;Raitininkų;2256;1468
51;4;157;Sporto;2781;1697
52;4;158;Kazliškių;1856;1164
53;4;159;Rinktinės;2177;1319
54;4;160;Tuskulėnų;1679;1028
55;4;161;Trimitų;1731;1018
56;4;162;Minties;1920;1094
57;4;163;Asiūklių;3345;2077
58;4;164;Apkasų;2191;1192
59;4;165;Verkių;1945;1110
60;4;166;Kalvarijų;1930;1064
61;5;202;Mokyklos;4348;2816
62;5;205;Fabijoniškių;4137;2300
63;5;207;S. Stanevičiaus;4028;2334
64;5;208;Kaimelio;2782;1500
65;5;209;L. Giros;3551;2046
66;5;210;P. Žadeikos;2190;1310
67;5;211;Gedvydžių;3277;1992
68;5;212;Rugių;4419;2742
69;5;213;S. Nėries;3992;2172
70;5;214;Pavilnionių;4964;2709
71;5;215;Bajorų;2960;1673
72;6;206;Jovaro;3925;2265
73;6;251;Ozo;1503;879
74;6;252;Viršuliškių;2066;1179
75;6;253;Lūžių;2743;1598
76;6;254;Mokslo;2621;1544
77;6;255;Čiobiškio;3377;1870
78;6;256;Musninkų;3787;2062
79;6;257;Dūkštų;2747;1575
80;6;258;Šeškinės;2363;1315
81;6;259;Ukmergės;3491;1889
82;6;260;Žygimanto Augusto;2196;1276
83;6;261;Paberžės;3784;2177
84;6;262;Gelvonų;4000;2281
85;6;305;Statybininkų;3392;1932
86;7;204;Gabijos;4163;2379
87;7;216;J. Baltrušaičio;2841;1763
88;7;301;Rygos;3798;2098
89;7;302;Taikos;4306;2493
90;7;303;Justiniškių;4096;2223
91;7;304;M. Biržiškos;3849;2256
92;7;306;Sietuvos;3356;1977
93;7;307;Žemynos;4430;2582
94;7;308;Medeinos;4243;2404
95;7;309;Pašilaičių;4298;2489
96;7;311;Įsruties;3565;2034
97;8;310;Papilėnų;3198;1935
98;8;312;Vydūno;3078;1866
99;8;351;Tujų;2829;1628
100;8;352;Sausio 13-osios;3133;1913
101;8;353;Bokšto;3230;1936
102;8;356;L. Asanavičiūtės;3570;2118
103;8;357;V. Druskio;2615;1486
104;8;358;R. Jankausko;1894;1090
105;8;359;D. Gerbutavičiaus;1707;984
106;8;360;Sietyno;2515;1495
107;8;361;A. P. Kavoliuko;2916;1614
108;8;362;V. Vaitkaus;1953;1059
109;8;363;A. J. Povilaičio;2395;1352
110;8;364;Laisvės;2853;1623
111;8;369;Pilaitės;4728;2644
112;8;370;Kriaučiūnų;548;274
113;9;48;Trakų Vokės;2706;1393
114;9;78;Liudvinavo;1794;803
115;9;401;Vingio;2682;1474
116;9;403;Geležinio Vilko;2675;1234
117;9;405;Gluosnių;2842;1598
118;9;407;Skroblų;3634;1740
119;9;408;Vilkpėdės;1799;857
120;9;410;Riešuto;1995;1149
121;9;411;Titnago;4022;1950
122;9;412;Aukštųjų Panerių;1483;638
123;9;413;Bukčių;3936;2321
124;9;414;Akacijų;2656;1591
125;9;415;Oslo;4118;2261
126;9;416;Žėručio;3150;1961
127;9;417;Paparčio;2848;1643
