minor_gid,org_id,votes
0,5,733
0,1,437
0,3,310
0,8,301
0,6,226
0,18,131
0,7,95
0,16,67
0,14,62
0,13,56
0,9,50
0,10,24
0,11,14
0,2,9
0,15,8
0,17,7
0,4,4
0,12,3
1,5,538
1,1,313
1,8,272
1,3,156
1,7,145
1,6,135
1,18,108
1,9,62
1,14,47
1,16,29
1,10,26
1,13,20
1,15,8
1,11,6
1,2,2
1,12,1
1,4,1
1,17,1
2,5,222
2,1,123
2,8,95
2,3,64
2,7,62
2,6,36
2,18,29
2,9,25
2,10,15
2,13,14
2,16,12
2,14,9
2,15,8
2,11,5
2,4,2
2,2,1
2,12,0
2,17,0
3,5,305
3,1,158
3,8,152
3,6,83
3,3,63
3,18,54
3,7,46
3,13,32
3,9,25
3,14,22
3,10,21
3,16,14
3,11,3
3,15,3
3,17,3
3,4,2
3,2,1
3,12,1
4,5,214
4,1,122
4,8,95
4,3,95
4,7,90
4,6,59
4,18,44
4,9,29
4,13,27
4,14,25
4,16,17
4,10,13
4,2,9
4,11,9
4,15,3
4,4,3
4,17,3
4,12,2
5,5,338
5,1,235
5,8,221
5,3,102
5,6,89
5,7,66
5,18,61
5,9,30
5,14,25
5,16,24
5,11,20
5,13,18
5,10,15
5,15,5
5,12,2
5,17,1
5,2,1
5,4,1
6,5,142
6,1,99
6,8,79
6,3,61
6,6,54
6,7,34
6,18,30
6,9,16
6,16,14
6,14,10
6,10,9
6,13,6
6,15,3
6,11,3
6,2,2
6,12,1
6,4,1
6,17,0
7,5,291
7,1,174
7,8,147
7,3,78
7,6,58
7,18,56
7,7,37
7,13,33
7,16,17
7,9,16
7,14,10
7,10,9
7,11,5
7,2,4
7,15,3
7,4,3
7,17,1
7,12,1
8,5,483
8,8,408
8,1,371
8,3,208
8,7,162
8,6,157
8,18,114
8,9,80
8,13,52
8,16,43
8,14,39
8,10,25
8,11,18
8,17,9
8,15,5
8,12,4
8,2,4
8,4,3
9,5,346
9,1,188
9,8,169
9,3,145
9,7,126
9,6,88
9,18,63
9,9,45
9,13,41
9,14,23
9,16,19
9,10,11
9,11,6
9,4,5
9,15,4
9,17,2
9,2,0
9,12,0
10,5,282
10,8,192
10,3,164
10,1,136
10,7,129
10,6,88
10,13,63
10,9,47
10,18,36
10,14,33
10,10,26
10,16,25
10,11,12
10,17,4
10,15,4
10,2,3
10,4,3
10,12,0
11,3,293
11,7,239
11,5,210
11,8,194
11,6,107
11,1,102
11,9,74
11,13,51
11,18,49
11,14,21
11,16,18
11,10,17
11,11,11
11,17,7
11,2,3
11,15,3
11,4,2
11,12,0
12,5,374
12,3,232
12,1,225
12,7,194
12,8,177
12,6,104
12,18,73
12,9,60
12,13,49
12,14,36
12,16,27
12,10,18
12,11,18
12,15,10
12,4,4
12,2,3
12,12,2
12,17,1
13,3,179
13,7,174
13,5,136
13,8,128
13,1,72
13,13,64
13,6,55
13,18,43
13,9,43
13,16,21
13,10,11
13,14,6
13,11,4
13,2,4
13,4,2
13,15,2
13,17,1
13,12,0
14,3,237
14,7,170
14,5,133
14,8,106
14,1,70
14,6,63
14,13,63
14,9,48
14,18,32
14,16,20
14,14,13
14,10,12
14,15,8
14,11,7
14,12,4
14,17,3
14,4,3
14,2,2
15,3,186
15,7,166
15,5,101
15,8,101
15,13,65
15,1,46
15,9,44
15,6,36
15,18,27
15,16,19
15,14,10
15,10,7
15,2,2
15,17,2
15,11,2
15,12,2
15,15,1
15,4,1
16,5,197
16,1,115
16,8,53
16,6,50
16,18,44
16,3,39
16,7,36
16,10,23
16,9,20
16,14,12
16,16,6
16,11,3
16,15,3
16,2,2
16,4,1
16,13,1
16,17,0
16,12,0
17,5,439
17,1,290
17,8,178
17,7,120
17,3,115
17,18,102
17,6,65
17,9,41
17,14,36
17,16,32
17,10,28
17,13,21
17,11,13
17,12,4
17,17,2
17,2,2
17,15,1
17,4,1
18,5,553
18,1,399
18,8,263
18,3,184
18,6,116
18,7,114
18,18,108
18,9,70
18,14,43
18,10,36
18,16,27
18,11,20
18,13,17
18,15,11
18,4,6
18,2,3
18,17,2
18,12,0
19,5,399
19,1,252
19,8,246
19,3,205
19,7,164
19,6,109
19,18,100
19,9,73
19,14,46
19,13,38
19,16,28
19,10,23
19,11,14
19,2,6
19,15,6
19,12,2
19,17,2
19,4,0
20,5,444
20,7,321
20,8,314
20,1,307
20,3,295
20,6,144
20,18,136
20,9,104
20,14,53
20,13,40
20,10,33
20,11,21
20,16,19
20,15,12
20,17,12
20,4,10
20,2,3
20,12,0
21,5,268
21,3,256
21,7,216
21,8,208
21,1,155
21,9,92
21,6,83
21,18,77
21,14,31
21,10,26
21,16,22
21,13,17
21,11,15
21,15,6
21,4,4
21,2,2
21,12,1
21,17,1
22,5,474
22,8,373
22,3,312
22,7,274
22,1,222
22,6,128
22,18,118
22,9,78
22,13,54
22,10,37
22,14,30
22,16,29
22,11,17
22,15,10
22,4,6
22,17,4
22,2,3
22,12,1
23,5,647
23,1,477
23,3,374
23,8,296
23,18,212
23,7,189
23,6,178
23,9,113
23,10,67
23,14,58
23,16,49
23,13,42
23,11,23
23,2,8
23,12,6
23,17,3
23,15,3
23,4,2
24,5,358
24,1,189
24,8,118
24,6,73
24,3,72
24,18,63
24,7,49
24,9,35
24,14,26
24,10,16
24,16,15
24,13,13
24,11,10
24,2,3
24,15,3
24,12,2
24,17,2
24,4,1
25,5,517
25,1,347
25,8,165
25,3,147
25,7,127
25,18,95
25,6,81
25,14,38
25,9,35
25,10,35
25,13,33
25,16,28
25,15,12
25,11,10
25,2,1
25,12,0
25,4,0
25,17,0
26,5,338
26,1,204
26,8,115
26,6,85
26,3,77
26,18,67
26,7,65
26,9,32
26,10,31
26,14,22
26,16,21
26,13,12
26,11,8
26,15,4
26,4,4
26,2,2
26,17,1
26,12,1
27,5,412
27,1,242
27,3,204
27,8,159
27,7,153
27,18,104
27,6,85
27,9,73
27,14,46
27,13,37
27,16,33
27,10,27
27,11,14
27,17,8
27,15,7
27,12,2
27,2,2
27,4,0
28,5,269
28,3,194
28,1,167
28,7,121
28,8,101
28,18,56
28,6,54
28,9,54
28,13,30
28,14,26
28,16,19
28,10,16
28,2,4
28,15,3
28,11,3
28,12,1
28,17,0
28,4,0
29,5,471
29,1,346
29,8,281
29,3,239
29,7,218
29,18,124
29,6,104
29,9,66
29,10,33
29,14,33
29,13,29
29,16,22
29,11,21
29,4,7
29,15,6
29,17,4
29,2,2
29,12,1
30,5,428
30,1,246
30,8,208
30,3,185
30,7,141
30,6,124
30,18,94
30,9,53
30,16,32
30,14,24
30,13,20
30,11,14
30,10,11
30,15,6
30,17,3
30,2,3
30,4,2
30,12,1
31,5,144
31,8,98
31,1,65
31,6,48
31,3,39
31,7,38
31,18,23
31,9,19
31,14,16
31,16,8
31,11,5
31,10,5
31,17,4
31,13,4
31,12,3
31,2,2
31,15,1
31,4,0
32,5,710
32,8,411
32,1,346
32,6,212
32,3,191
32,7,175
32,18,152
32,9,99
32,14,57
32,10,42
32,16,34
32,13,33
32,11,20
32,15,9
32,2,6
32,4,3
32,17,3
32,12,3
33,5,630
33,8,307
