major_id,major_name
1,Senamiesčio–Žvėryno
2,Naujamiesčio–Naujininkų
3,Antakalnio
4,Žirmūnų
5,Fabijoniškių
6,Šeškinės–Šnipiškių
7,Justiniškių–Viršuliškių
8,Pilaitės–Karoliniškių
9,Lazdynų
10,Naujosios Vilnios
11,Panerių–Grigiškių
12,Verkių
13,Pašilaičių
14,Šilainių
15,Kalniečių
16,Savanorių
17,Petrašiūnų–Gričiupio
18,Panemunės
19,Aleksoto–Vilijampolės
20,Centro–Žaliakalnio
21,Marių
22,Pajūrio
23,Danės
24,Baltijos
25,Aušros
26,Saulės
27,Panevėžio vakarinė
28,Nevėžio
29,Marijampolės
30,Alytaus
31,Gargždų
32,Šilutės
33,Aukštaitijos
34,Tauragės
35,Plungės–Rietavo
36,Mėguvos
37,Kuršo
38,Mažeikių
39,Žemaitijos šiaurinė
40,Telšių
41,Kelmės–Šilalės
42,Raseinių–Kėdainių
43,Kėdainių
44,Radviliškio–Tytuvėnų
45,Šiaulių krašto
46,Žiemgalos vakarinė
47,Žiemgalos rytinė
48,Sėlos vakarinė
49,Deltuvos šiaurinė
50,Sėlos rytinė
51,Utenos
52,Nalšios šiaurinė
53,Nalšios pietinė
54,Molėtų–Širvintų
55,Nemenčinės
56,Šalčininkų–Vilniaus
57,Medininkų
58,Trakų–Vievio
59,Kaišiadorių–Elektrėnų
60,Jonavos
61,Deltuvos pietinė
62,Karšuvos
63,Sūduvos pietinė
64,Sūduvos šiaurinė
65,Raudondvario
66,Garliavos
67,Dainavos
68,Vilkaviškio
69,Dzūkijos
70,Jotvingių
71,Pasaulio lietuvių
