minor_gid,major_id,minor_id,minor_name,registered_voters,votes
0,1,1,Kaštonų,2608,1692
1,1,2,Gedimino,762,499
2,1,3,Saltoniškių,2724,1515
3,1,4,Sėlių,1348,730
4,1,5,Liubarto,1542,971
5,1,6,Vytauto,1512,777
6,1,7,Birutės,1842,1058
7,1,8,Pamėnkalnio,1014,557
8,1,9,J.Jasinskio,1044,595
9,1,10,Taurakalnio,1475,900
10,1,11,M.K.Čiurlionio,1040,629
11,1,12,S.Konarskio,2504,1375
12,1,13,Mindaugo,1448,778
13,1,14,Švitrigailos,922,484
14,1,15,Vytenio,2350,1178
15,1,16,Naugarduko,3095,1243
16,1,17,Algirdo,2253,967
17,1,18,Kauno,1230,407
18,1,457,Naujininkų,1891,885
19,1,458,Brolių,2326,921
20,1,459,Gimnazijos,1914,766
21,2,51,Dailės,1052,554
22,2,52,Užupio,2394,1226
23,2,54,A.Juozapavičiaus,2791,1296
24,2,55,Didlaukio,3241,1688
25,2,56,Licėjaus,2710,1041
26,2,57,Senvagės,3038,1455
27,2,58,Žalgirio,3583,1503
28,2,59,V.Sirokomlės,2332,896
29,2,60,S.Nėries,2020,1004
30,2,62,Naugarduko,2660,1314
31,2,65,A.Vienuolio,1988,1065
32,2,66,M.Daukšos,4090,1663
33,2,67,V.Šopeno,2441,987
34,2,203,Baltupių,3447,1539
35,3,101,Filaretų,2567,1238
36,3,102,Olandų,884,490
37,3,103,P.Rimšos,2191,1322
38,3,104,L.Sapiegos,1967,1140
39,3,105,Šilo,2921,1721
40,3,106,P.Vileišio,1795,936
41,3,107,Antakalnio,1856,1130
42,3,108,Žolyno,2179,994
43,3,109,Švyturio,1472,756
44,3,110,A.Daukšos,1517,965
45,3,111,B.Sruogos,2466,1501
46,3,112,Saulėtekio,3864,1682
47,3,114,Subačiaus,1062,352
48,3,115,Markučių,1811,660
49,3,116,Liepkalnio,1733,671
50,3,117,Rasų,1161,343
51,3,118,Pelesos,3479,1185
52,3,119,Karačiūnų,1032,399
53,3,120,Antavilių,762,394
54,3,121,Dvarčionių,2916,1296
55,3,201,Popieriaus,4341,1874
56,4,24,Muitininkų,4681,2314
57,4,151,Žirmūnų,2879,1501
58,4,152,Kareivių,2762,1289
59,4,153,Prekybininkų,3679,1912
60,4,154,Miestelio,2540,1237
61,4,155,Moksleivių,2858,1432
62,4,156,Raitininkų,2029,1226
63,4,157,Sporto,2870,1693
64,4,158,Kazliškių,2036,1151
65,4,159,Rinktinės,2407,1325
66,4,160,Tuskulėnų,1722,984
67,4,161,Trimitų,1776,910
68,4,162,Minties,2067,1136
69,4,163,Asiūklių,1665,887
70,4,164,Apkasų,1886,883
71,4,165,Verkių,1411,637
72,4,166,Kalvarijų,2131,1046
73,5,202,Mokyklos,4650,2745
74,5,204,Gabijos,5267,2561
75,5,205,Fabijoniškių,4227,2005
76,5,206,Jovaro,4088,1989
77,5,207,S.Stanevičiaus,2834,1430
78,5,208,Kaimelio,2819,1369
79,5,209,L.Giros,4897,2333
80,5,210,P.Žadeikos,4098,1917
81,5,211,Gedvydžių,4626,2403
82,5,212,Rugių,3797,2096
83,6,251,Ozo,1727,838
84,6,252,Viršuliškių,2314,1105
85,6,253,Lūžių,2749,1347
86,6,254,Mokslo,2582,1259
87,6,255,Čiobiškio,3696,1795
88,6,256,Musninkų,4067,1848
89,6,257,Dūkštų,3051,1552
90,6,258,Šeškinės,2437,1165
91,6,259,Ukmergės,3729,1656
92,6,260,Žygimanto Augusto,2131,1069
93,6,261,Paberžės,4236,2130
94,6,262,Gelvonų,4474,2205
95,7,301,Rygos,4040,1723
96,7,302,Taikos,4346,2141
97,7,303,Justiniškių,3979,1811
98,7,304,M. Biržiškos,4134,2063
99,7,305,Statybininkų,3734,1778
100,7,306,Sietuvos,3558,1701
101,7,307,Žemynos,4661,2320
102,7,308,Medeinos,4660,2103
103,7,309,Pašilaičių,4975,2700
104,7,311,Įsruties,3998,2105
105,8,310,Papilėnų,4803,2538
106,8,310,Pilaitės,2297,1114
107,8,351,Tujų,3132,1561
108,8,352,Sausio 13-osios,3484,1937
109,8,353,Bokšto,3544,1935
110,8,355,L.Asanavičiūtės,1461,812
111,8,356,V.Maciulevičiaus,1962,1072
112,8,357,V.Druskio,1721,931
113,8,358,Dovanos,1619,797
114,8,359,R.Jankausko,1374,737
115,8,360,A.J.Povilaičio,1749,910
116,8,361,A.P.Kavoliuko,1817,988
117,8,362,Poliklinikos,1612,888
