org_id,org_name
1,Tėvynės sąjunga (Lietuvos konservatoriai)
2,Lietuvos demokratinė darbo partija
3,Lietuvos centro sąjunga
4,Lietuvos socialdemokratų partija
5,Lietuvos krikščionių demokratų partija
6,Lietuvos rusų sąjunga
7,Lietuvos liberalų sąjunga
8,Lietuvos lenkų rinkimų akcija
9,Naujosios demokratijos partija
10,Lietuvos piliečių aljansas
11,Jaunosios Lietuvos, naujųjų tautininkų ir politinių kalinių sąjunga
12,Lietuvių tautininkų ir Lietuvos demokratų partijos koalicija
13,Krikščionių demokratų sąjunga
14,Lietuvos socialistų partija
15,Lietuvos laisvės lyga
16,Lietuvos politinių kalinių ir tremtinių sąjunga
17,Lietuvos ūkio partija
18,Lietuvos valstiečių partija
19,Lietuvos socialinio teisingumo sąjunga
20,Kovotojų už Lietuvą sąjunga
21,Respublikonų partija
22,Lietuvos liaudies sąjunga Už teisingą Lietuvą
23,Lietuvos gyvenimo logikos partija
24,Tautos pažangos partija
