org_id,org_name
1,Sąjūdžio koalicija
2,Lietuvos Sandrauga
3,Lietuvos laisvės lyga
4,Lietuvos socialdemokratų partija
5,Visuomeninis politinis judėjimas Lietuvos laisvės sąjunga
6,Lietuvos centro judėjimas
7,Lietuvos lenkų sąjunga
8,Krikščionių demokratų ir Jaunosios Lietuvos sąjungų susivienijimas Už vieningą Lietuvą
9,Lietuvos judėjimas Černobylis
10,Lietuvos liberalų sąjunga
11,Lietuvos patriotų sąjunga
12,Lietuvos Respublikos tautos pažangos judėjimas
13,Lietuvių tautininkų sąjungos (Lietuvių tautininkų sąjunga, Nepriklausomybės partija) sąrašas
14,Lietuvos Krikščionių demokratų partijos, Lietuvos politinių kalinių ir tremtinių sąjungos ir Lietuvos demokratų partijos jungtinis sąrašas
15,Lietuvos demokratinė darbo partija
16,Visuomeninis politinis judėjimas už socialinį teisingumą
17,Lietuvos nuosaikiųjų judėjimas
