minor_gid,major_id,minor_id,minor_name,registered_voters,votes
713096,69,17,Gulbynės,3338,1425
713098,19,25,Girios alėjos,2848,1611
713100,33,1,Geležių,429,182
713102,33,9,Krekenavos,1677,745
713104,53,15,Arnionių,179,93
713106,61,4,Alionių,315,164
713108,61,10,Smėlių,1204,557
713110,61,23,Viesų,169,90
713112,69,13,Šaltinių,2416,1259
713114,29,21,Žvaigždutės,2428,1210
713116,14,452,Lietuvių namų,1902,855
713118,16,77,Buitininkų,3983,1987
713120,71,55,Ambasada Jungtinėje Karalystėje,18336,10227
713126,10,468,Karklėnų,2746,1203
713128,35,4,Laisvės,2344,1242
713130,33,44,Skaistgirių,328,146
713132,50,7,Imbrado,401,186
713134,55,57,Avižienių 2-oji,1583,856
713136,55,58,Riešės 2-oji,1327,806
713138,55,59,Bukiškio 2-oji,1800,1199
713140,55,60,Sudervės 2-oji,1210,748
713142,55,61,Didžiosios Riešės 2-oji,2014,1159
713144,57,62,Bezdonių 2-oji,1224,588
713146,57,63,Mickūnų 2-oji,1638,687
713148,57,64,Nemėžio 2-oji,2137,1005
713150,57,65,Skaidiškių 2-oji,1820,755
713152,57,66,Rudaminos 2-oji,2003,913
713154,11,67,Pagirių 2-oji,1503,795
713156,71,71,Ambasada Australijoje,663,371
713158,42,40,Lenkelių,135,75
713160,53,3,Balninkų,296,179
713162,50,27,Kriaunų,384,191
713164,48,18,Skapiškio,825,397
713166,6,256,Musninkų,3078,1567
713168,65,64,Giraitės,1263,652
713170,66,65,Uosiuko,1611,939
713172,59,7,Beižionių,249,157
713174,56,35,Dailidžių,233,156
713176,3,120,Antavilių,3118,1874
713178,49,15,Siesikų,1005,420
713180,61,37,Želvos,755,366
713182,33,42,Molainių,1034,652
713184,62,2,Smalininkų,935,437
713186,61,17,Družų,392,162
713188,70,6,Kapčiamiesčio,971,413
713190,70,23,Šeštokų,811,336
713192,21,8,Baltų,3602,1950
713194,4,153,Prekybininkų,3027,1641
713196,68,34,Giedrių,827,402
713198,68,36,Serdokų,224,112
713200,8,372,Karaliaučiaus,2533,1375
713202,37,41,M.Tiškevičiūtės,1569,759
713204,13,307,Žemynos,3735,2078
713206,31,31,Dituvos,3789,1523
713208,33,5,Piniavos,1797,895
713210,21,9,Baltijos,3351,1823
713212,24,33,Gindulių,2280,1180
713214,60,10,Kalnų,933,423
713216,64,7,Višakio Rūdos,360,165
713218,31,4,Centro,1936,1086
713220,16,81,J. Urbšio,2073,1105
713222,23,25,Šilojų,3693,2021
713224,55,56,Antežerių,2084,1332
713226,58,10,Ismonių,203,96
713228,64,26,Sintautų,899,391
713230,71,70,Ambasada Jungtiniuose Arabų Emyratuose,204,72
713232,46,9,Gaižaičių,301,137
713234,13,204,Gabijos,3932,2152
713236,16,84,Nepriklausomybės,1817,957
713238,27,6,V.Kudirkos,1881,1054
713240,71,73,Ambasada Pietų Korėjoje,94,60
713242,71,74,Ambasada Šveicarijos Konfederacijoje,1186,849
713244,71,75,Generalinis konsulatas Miunchene,956,670
713246,4,158,Kazliškių,1892,1121
713248,40,29,Žarėnų,690,310
713250,45,29,Daugėlių,1507,733
713252,19,23,Bivylių,3950,2219
713254,36,34,Trušelių,3981,1834
713256,8,371,Smalinės,3532,2185
713258,10,473,Kalnėnų,2898,1996
713260,71,14,Ambasada Estijos Respublikoje,189,140
713262,71,37,Ambasada Suomijos Respublikoje,371,262
713264,69,37,Dzūkų,1878,891
713266,48,24,Žaidelių,290,143
713268,65,37,Daugėliškių,360,183
713270,59,20,Stabintiškių,500,242
713272,30,4,A. Matučio,1947,871
713274,30,9,Statybininkų,1332,612
713276,11,464,Užusienio,1395,806
713278,7,303,Justiniškių,4123,2078
713280,51,29,Senamiesčio,1730,1011
713282,51,32,Sodų,1263,605
713284,45,19,Šiupylių,282,123
713286,40,8,Kęstučio,1254,663
713288,68,25,Sūdavos,896,322
713290,64,37,Briedžių,393,199
713292,6,260,Žygimanto Augusto,2448,1329
713294,64,3,Mindaugo,1313,671
713300,23,18,Šatrijos,1032,515
713302,50,35,Suvainiškio,169,88
713304,69,10,Krūminių,365,159
713306,69,24,Daržininkų,177,75
713308,69,32,Tolkūnų,334,158
713310,59,1,Draugystės,1911,858
713312,61,16,Alekniškio,174,96
713314,31,8,Daukšaičių,292,110
713316,70,30,Dzūkų,2408,1241
713318,50,13,Obelių,1510,650
713324,65,55,Drąseikių,1321,518
713326,65,56,Įgulos,2332,1377
713328,66,57,Sąnašos,1543,880
713330,16,58,Pelenių,1228,524
713332,16,60,Pabiržio,1628,830
713334,65,63,Vijūkų,2529,1367
713336,39,9,Ylakių,910,424
713338,30,19,Jotvingių,2124,975
713340,40,32,Vembūtų,339,151
713342,35,24,Nausodžio,1590,832
713344,5,213,S. Nėries,3820,1809
713346,16,59,Ąžuolų,1597,973
713348,66,61,Tabariškių,3332,1847
713350,65,62,Dvaro,1662,971
713354,10,472,Džiaugsmo,4070,2509
713356,67,16,Balbieriškio,1847,813
713358,30,22,Jaunimo,2045,997
713360,30,21,Volungės,3033,1561
713362,30,8,Naujoji,2939,1251
713364,41,14,Kražių,650,349
713366,42,34,Lyduvėnų,206,97
713368,69,17,Vilkiautinio,329,171
713374,27,36,Dainų,2039,1079
713376,69,26,Valkininkų,632,319
713378,68,20,Šiaudiniškių,222,101
713380,71,53,Generalinis konsulatas Čikagoje,2496,1262
713382,71,56,Ambasada Kanadoje,606,356
713408,52,14,Linkmenų,687,350
713412,71,72,Ambasada Singapūro Respublikoje,136,85
713414,71,60,Ambasada Rusijos Federacijoje,103,55
713416,71,63,Konsulatas Sovetske,22,19
713418,71,50,Ambasada Ispanijos Karalystėje,874,606
713420,71,51,Konsulatas Valensijoje,610,374
