minor_gid,major_id,minor_id,minor_name,registered_voters,votes
662060,49,2,Janydžių,1390,690
662062,49,3,Ažupiečių,1574,829
662064,49,4,Liudiškių,2430,1085
662066,49,18,Kurklių,417,186
662068,49,19,Kurklių II k.,255,120
662070,49,20,Staškūniškio,363,152
662072,49,21,Katlėrių,292,145
662074,50,42,Panemunėlio,349,176
662076,23,59,Girulių,550,370
662078,49,22,Skiemonių,385,170
662080,49,23,Mačionių,242,125
662082,49,25,Aulelių,313,143
662084,49,26,Svėdasų,1155,584
662086,49,27,Vaitkūnų,232,143
662088,49,28,Troškūnų,1093,422
662090,14,10,Žiemgalių,4824,2383
662092,49,30,Vašuokėnų,149,64
662094,48,8,Nausėdžių,342,145
662096,48,11,Germaniškio,396,157
662098,48,12,Nemunėlio Radviliškio,619,246
662100,48,13,Pučiakalnės,209,79
662102,48,16,Pačeriaukštės,394,119
662104,48,17,Pasvaliečių,399,160
662106,48,19,Kučgalio,257,119
662108,48,20,Skrebiškių,221,106
662110,69,5,Kabelių,338,167
662112,69,8,Puvočių,118,81
662114,69,10,Krūminių,408,151
662116,69,11,Matuizų,1183,477
662118,69,13,Gudakiemio,206,74
662120,69,15,Merkinės,1187,606
662122,69,17,Vilkiautinio,349,173
662124,52,9,Salako,573,268
662126,52,10,Samanių,186,83
662128,52,12,Dimitriškių,514,201
662130,52,15,Štadvilių,517,249
662132,53,5,Dysnos,254,144
662134,52,6,Dūkšto,945,435
662140,53,9,Ignalinos Centro,3196,1574
662142,53,10,Ignalinos,1311,666
662144,52,11,Kaniūkų,332,162
662146,53,12,Kazitiškio,552,246
662148,53,13,Kazokinės,661,292
662150,53,14,Linkmenų,742,390
662152,53,15,Mažėnų,218,105
662154,53,16,Meikštų,229,117
662156,60,4,Bibliotekos,1612,781
662158,60,6,Senamiesčio,2482,1004
662160,60,7,Saulutės,1768,639
662162,60,8,Mokyklos,1322,541
662164,60,9,Ateities,1498,666
662166,60,10,Kalnų,1069,427
662168,60,11,Lakštingalų,1701,870
662170,5,208,Kaimelio,2668,1304
662172,5,209,L. Giros,3193,1813
662174,5,211,Gedvydžių,2866,1487
662176,12,212,Rugių,4299,2509
662178,7,253,Lūžių,2621,1288
662180,7,254,Mokslo,3256,1510
662182,6,255,Čiobiškio,3230,1393
662184,6,257,Dūkštų,2425,1194
662186,6,259,Ukmergės,3204,1465
662188,6,261,Paberžės,2836,1391
662190,5,262,Gelvonų,3736,1817
662192,7,301,Rygos,3521,1599
662194,7,302,Taikos,3843,1915
662196,7,304,M. Biržiškos,3482,1792
662198,7,305,Statybininkų,3028,1374
662200,7,306,Sietuvos,3406,1592
662202,13,308,Medeinos,3391,1537
662204,13,309,Pašilaičių,3432,1935
662206,8,311,Įsruties,4076,2144
662208,8,310,Papilėnų,4179,2152
662210,9,352,Sausio 13-osios,2720,1365
662212,9,353,Bokšto,2935,1393
662214,9,356,L. Asanavičiūtės,2704,1231
662216,9,357,V. Druskio,2404,1095
662218,9,358,R. Jankausko,1818,891
662220,30,20,Topolių,1709,736
662222,30,23,Jurgiškių,2496,1058
662224,30,24,Likiškėlių,3301,1371
662226,30,5,Santaikos,1097,503
662228,63,41,Gavaltuvos,313,126
662230,14,2,Sargėnų,4597,2377
662232,14,3,Vėtrungės,3202,1608
662234,14,4,Rasytės,2987,1499
662236,14,5,Šarkuvos,4255,1953
662238,14,7,Žemaičių,3860,1782
662240,14,11,Milikonių,2282,1162
662242,19,12,Demokratų,1987,930
662244,19,15,Sąjungos,2973,1318
662246,19,16,Dobilo,2848,1187
662248,19,19,Seredžiaus,1336,488
662250,19,21,Veršvų,4480,1934
662252,19,24,Kaniūkų,4100,2103
662254,19,28,Veiverių,1741,714
662256,14,121,Ąžuolo,3312,1598
662258,19,127,Romainių,4836,2681
662260,20,37,A. Mackevičiaus,1041,526
662264,20,40,Radvilėnų,2149,1229
662266,20,42,J. Jablonskio,1737,1119
662268,20,43,Aušros,2156,1169
662270,20,45,Senojo tresto,2775,1465
662274,20,49,Miško,2839,1612
662276,17,94,Studentų,2644,1262
662278,70,26,Verstaminų,323,149
662280,20,50,Jonavos,799,381
662282,17,98,Pašilės,2898,1495
662284,17,111,Nemuno,2093,1023
662286,18,107,Drobės,2238,929
662288,18,108,Skuodo,2343,1081
662290,18,109,Žiburio,3117,1537
662292,17,114,Šilo,3201,1278
662294,18,120,Vičiūnų,2117,1113
662296,18,123,Vaišvydavos,2703,1467
662298,18,29,Birutės,3799,2040
662300,23,1,Gimnazijos,3026,1504
662302,23,4,Danės,1118,597
662304,23,6,Dviračių Treko,2361,1124
662306,23,7,Kretingos,1953,946
662308,22,9,Muzikos Centro,1151,618
662310,22,10,Žaliakalnio,1046,465
662312,23,15,Tauralaukio,3199,1641
662314,23,16,Baltikalnio,1379,589
662316,24,19,Vilties,1581,601
662318,23,20,Pingvinuko,1538,609
662320,20,54,Algirdo,2629,1369
662322,20,56,Purienų,3360,1641
662324,15,58,Žeimenos,4176,2000
662326,20,61,Gerovės,4112,1863
662328,20,63,S. Nėries,4420,2433
662330,15,65,Vaidilutės,1569,789
662332,15,67,S. Žukausko,3532,1660
662334,61,12,Linų,2482,1128
662336,61,23,Deltuvos,1537,605
662338,61,30,Šešuolių,637,276
662340,61,40,Žemaitkiemio,551,245
662342,36,30,Slengių,4459,2045
662344,53,4,Labanoro,245,152
662346,56,10,Butrimonių,709,381
662348,33,4,Paliūniškio,539,263
662350,33,8,Daukniūnų,586,249
662352,47,13,Gulbinėnų,191,80
662354,47,22,Rinkūnų,292,110
662356,47,24,Mikoliškio,483,197
662358,47,28,Raubonių,566,240
662360,47,35,Vaškų,707,295
662362,51,31,Smėlio,1863,684
662364,53,24,Karkažiškės,477,146
662368,24,45,Menų mokyklos,1842,782
662370,21,54,Želmenėlio,2921,1091
662372,21,55,Brožynų,3249,1254
662374,21,56,Laukininkai,3680,1349
662376,21,58,Berželio,3598,1318
662378,21,67,Volungėlės,2414,1023
662380,21,68,Bandužių,3656,1401
662382,22,14,Sulupės,2478,924
662384,22,40,Pamario,3632,1379
662386,22,50,Smiltelės,3222,1299
662388,22,51,Alksnynės,3293,1471
662390,22,1,Kopų,2304,1232
662392,67,4,Miklusėnų,1297,672
662394,63,6,Luksnėnų,1057,468
662396,8,360,Sietyno,2299,1141
662398,8,361,A. P. Kavoliuko,2803,1260
662400,8,362,V. Vaitkaus,2016,1054
662402,8,363,A. J. Povilaičio,2091,1029
662404,8,364,Laisvės,2514,1221
662406,22,2,Smėlio,1456,764
