minor_gid,org_id,votes
0,5,746
0,7,273
0,11,186
0,6,170
0,8,125
0,3,65
0,1,38
0,12,35
0,14,12
0,15,12
0,10,9
0,4,8
0,9,5
0,13,4
0,2,4
1,7,140
1,6,106
1,11,94
1,5,80
1,8,28
1,3,22
1,12,17
1,13,4
1,10,3
1,14,2
1,15,2
1,2,1
1,1,0
1,4,0
1,9,0
2,7,410
2,11,299
2,6,298
2,5,217
2,8,127
2,12,51
2,3,49
2,14,19
2,15,13
2,2,11
2,13,9
2,10,5
2,9,5
2,4,1
2,1,1
3,11,164
3,7,162
3,5,137
3,6,128
3,8,43
3,3,36
3,12,36
3,14,8
3,2,7
3,10,3
3,13,2
3,1,2
3,9,1
3,4,1
3,15,0
4,7,344
4,11,169
4,6,168
4,5,119
4,8,57
4,3,43
4,12,32
4,2,8
4,14,7
4,10,7
4,15,6
4,9,4
4,4,3
4,1,2
4,13,2
5,7,193
5,5,150
5,6,146
5,11,120
5,8,69
5,12,42
5,3,23
5,14,13
5,2,11
5,9,4
5,15,3
5,13,2
5,1,1
5,4,0
5,10,0
6,7,256
6,6,238
6,11,212
6,5,166
6,8,70
6,12,44
6,3,30
6,14,20
6,15,9
6,9,4
6,10,3
6,2,3
6,1,1
6,13,1
6,4,1
7,7,135
7,11,112
7,6,102
7,5,82
7,8,53
7,12,32
7,3,16
7,14,8
7,15,5
7,13,3
7,2,3
7,1,2
7,10,2
7,9,1
7,4,1
8,7,165
8,11,116
8,6,115
8,5,102
8,8,34
8,12,24
8,3,20
8,14,4
8,15,4
8,13,4
8,2,4
8,10,2
8,1,1
8,9,0
8,4,0
9,7,219
9,6,207
9,11,187
9,5,131
9,8,59
9,3,46
9,12,22
9,14,8
9,10,5
9,2,5
9,15,4
9,13,3
9,9,2
9,1,1
9,4,1
10,6,174
10,11,142
10,7,115
10,5,83
10,8,42
10,12,23
10,3,23
10,14,9
10,10,5
10,2,4
10,9,4
10,1,2
10,15,1
10,13,1
10,4,1
