minor_gid,major_id,minor_id,minor_name,registered_voters,votes
0,1,2,Gedimino,4714,2277
1,1,8,Pamėnkalnio,1882,1180
2,1,10,Taurakalnio,1462,936
3,1,12,S. Konarskio,3461,2164
4,1,13,Mindaugo,2281,1256
5,1,15,Vytenio,2404,1333
6,1,16,Žemaitės,2943,1371
7,1,17,Algirdo,3341,1612
8,2,3,Saltoniškių,2906,1672
9,2,4,Sėlių,1518,861
10,2,6,Vytauto,2748,1653
11,2,7,Birutės,1949,1250
12,2,51,Dailės,1647,936
13,2,52,Užupio,2454,1498
14,2,54,A. Juozapavičiaus,0,1608
15,2,56,Licėjaus,3138,1257
16,2,57,Senvagės,3632,1745
17,2,59,Konstitucijos,3526,1806
18,2,60,Senamiesčio,1762,1071
19,2,62,Naugarduko,2893,1761
20,2,65,A. Vienuolio,1688,999
21,2,66,M. Daukšos,2853,1380
22,2,67,V. Šopeno,2283,1112
23,3,102,Olandų,1645,995
24,3,104,L. Sapiegos,3084,1876
25,3,105,Šilo,3550,2250
26,3,107,Antakalnio,3094,1714
27,3,109,Švyturio,3175,1638
28,3,111,B. Sruogos,3852,2448
29,3,112,Saulėtekio,4008,2393
30,3,120,Antavilių,2532,1455
31,3,121,Dvarčionių,4287,2182
32,3,200,Balsių,4031,2291
33,3,201,Popieriaus,3943,1920
34,4,151,Žirmūnų,2393,1277
35,4,152,Kareivių,1959,1066
36,4,153,Prekybininkų,2988,1421
37,4,154,Miestelio,2141,974
38,4,155,Moksleivių,2920,1304
39,4,156,Raitininkų,2111,1305
40,4,157,Sporto,2647,1461
41,4,158,Kazliškių,1917,1064
42,4,159,Rinktinės,2080,1211
43,4,160,Tuskulėnų,1639,943
44,4,161,Trimitų,1649,819
45,4,162,Minties,1773,908
46,4,163,Asiūklių,3359,1946
47,4,164,Apkasų,2229,1138
48,4,165,Verkių,1741,922
49,4,166,Kalvarijų,2185,1057
50,5,204,Gabijos,4210,2123
51,5,205,Fabijoniškių,4159,2136
52,5,207,S. Stanevičiaus,3853,2023
53,5,208,Kaimelio,2665,1340
54,5,210,P. Žadeikos,2129,1172
55,5,211,Gedvydžių,2921,1587
56,5,213,S. Nėries,4081,1968
57,5,214,Pavilnionių,4152,2230
58,5,216,J. Baltrušaičio,2957,1721
59,5,217,Tarandės,2668,1409
60,5,309,Pašilaičių,4112,2074
61,6,253,Lūžių,2723,1437
62,6,254,Mokslo,3264,1633
63,6,255,Čiobiškio,3362,1536
64,6,256,Musninkų,3515,1716
65,6,257,Dūkštų,2609,1366
66,6,258,Šeškinės,2241,1175
67,6,259,Ukmergės,3280,1534
68,6,260,Žygimanto Augusto,2673,1359
69,6,261,Paberžės,3044,1658
70,6,262,Gelvonų,3860,1934
71,6,351,Tujų,2813,1389
72,7,252,Viršuliškių,2729,1358
73,7,301,Rygos,3660,1759
74,7,302,Taikos,4077,2115
75,7,303,Justiniškių,3875,1844
76,7,304,M. Biržiškos,3580,1897
77,7,305,Statybininkų,3169,1493
78,7,306,Sietuvos,3390,1664
79,7,307,Žemynos,0,2291
80,7,308,Medeinos,4523,2379
81,8,310,Papilėnų,3154,1793
82,8,311,Įsruties,3753,2106
83,8,312,Vydūno,2965,1573
84,8,313,I. Kanto,3573,1752
85,8,356,L. Asanavičiūtės,2770,1354
86,8,357,V. Druskio,2509,1227
87,8,358,R. Jankausko,1935,1025
88,8,359,D. Gerbutavičiaus,2176,1094
89,8,360,Sietyno,2431,1216
90,8,361,A. P. Kavoliuko,2869,1345
91,8,362,V. Vaitkaus,1958,1024
92,8,363,A. J. Povilaičio,0,1057
93,8,364,Laisvės,2689,1390
94,8,369,Pilaitės,3674,2199
95,9,352,Sausio 13-osios,2922,1532
96,9,353,Bokšto,3094,1628
97,9,401,Vingio,2486,1143
98,9,403,Geležinio Vilko,2688,1136
99,9,405,Gluosnių,2688,1338
100,9,407,Skroblų,3376,1431
101,9,410,Riešuto,2482,1201
102,9,413,Bukčių,4092,2577
103,9,414,Akacijų,0,1396
104,9,415,Oslo,4041,2112
105,9,416,Žėručio,3049,1732
106,9,417,Paparčio,2818,1394
107,10,101,Filaretų,2651,1512
108,10,115,Markučių,3385,1353
109,10,116,Liepkalnio,4132,1711
110,10,461,Palydovo,2559,1123
111,10,462,Rugiagėlių,2270,916
112,10,463,A. Kojelavičiaus,1483,480
113,10,465,Genių,2354,1159
114,10,466,Pergalės,2877,1197
115,10,467,Darželio,0,793
116,10,468,Karklėnų,2939,1233
117,10,469,J. Kolaso,4800,2497
118,10,470,Parko,3771,1590
119,10,471,Pramonės,1391,435
120,11,48,Trakų Vokės,0,1527
121,11,50,Melioratorių,3368,1486
122,11,78,Liudvinavo,1983,823
123,11,408,Vilkpėdės,0,678
124,11,411,Titnago,3818,1620
125,11,412,Aukštųjų Panerių,0,466
126,11,451,Salininkų,2769,1088
127,11,452,Lietuvių namų,2531,868
128,11,453,Dzūkų,2749,1039
129,11,454,Kapsų,0,463
130,11,455,Dariaus ir Girėno,1385,568
131,11,456,Kaminkelio,2614,1008
132,11,457,Naujininkų,1613,717
133,11,458,Brolių,2083,756
134,11,459,Gimnazijos,1862,754
135,11,460,Kirtimų,1469,493
136,11,464,Užusienio,0,503
137,12,23,Visorių,3586,2338
138,12,24,Muitininkų,3011,2010
139,12,53,A. Krutulio,3413,2017
140,12,55,Didlaukio,3953,2233
141,12,202,Mokyklos,4279,2612
142,12,203,Baltupių,3856,2144
143,12,206,Jovaro,3706,1884
144,12,209,L. Giros,3428,1916
145,12,212,Rugių,4429,2667
146,12,215,Bajorų,3182,1661
147,13,33,Tekstilininkų,1737,972
148,13,36,Maironio,1719,906
149,13,37,A. Mackevičiaus,1098,584
150,13,38,Varpo,1191,693
151,13,39,Ryšių,2320,1365
152,13,40,Radvilėnų,2244,1316
153,13,42,J. Jablonskio,1804,1099
154,13,43,Aušros,2410,1447
155,13,45,Senojo tresto,2760,1544
156,13,47,Sporto,778,461
157,13,49,Miško,2974,1632
158,13,50,Jonavos,849,375
159,13,52,L. Karsavino,3460,1968
160,13,54,Algirdo,2759,1545
161,13,63,S. Nėries,3791,2162
162,13,94,Studentų,2818,1463
163,14,2,Sargėnų,4265,2350
164,14,3,Vėtrungės,3303,1827
165,14,4,Rasytės,3099,1701
166,14,5,Šarkuvos,4428,2283
167,14,7,Žemaičių,4049,2063
168,14,8,Baltų,3901,2066
169,14,9,Baltijos,3746,2077
170,14,10,Žiemgalių,4744,2485
171,14,11,Milikonių,2355,1309
172,14,12,Demokratų,2081,1105
173,15,56,Purienų,3590,1923
174,15,58,Žeimenos,4340,2235
175,15,60,Versmės,2958,1420
176,15,61,Gerovės,4351,2137
177,15,64,Aukuro,3779,2011
178,15,65,Vaidilutės,1701,882
179,15,66,Šiaurės,0,1791
180,15,67,S. Žukausko,0,1989
181,15,68,Statybininkų,0,2002
182,15,69,Rasos,1890,993
183,15,70,P. Plechavičiaus,3748,1998
184,16,71,K. Škirpos,3824,1894
185,16,72,P. Lukšio,3878,2094
186,16,77,Buitininkų,0,2025
187,16,78,Partizanų,3256,1609
188,16,79,Pramonės,2420,1032
189,16,80,Dainavos,3194,1584
190,16,81,J. Urbšio,2359,1195
191,16,82,Sartų,2679,1387
192,16,83,A. Timinskio,2553,1244
193,16,84,Nepriklausomybės,0,1073
194,16,85,Vytauto,0,1572
195,16,86,Atžalyno,0,1700
196,17,88,V. Krėvės,2266,1085
197,17,89,Specialistų,2638,1257
198,17,91,Taikos,2314,1224
199,17,92,Vyturio,2365,1257
200,17,93,Butrimonių,2190,1114
201,17,96,Dujotiekio,2947,1459
202,17,97,Girstučio,2073,990
203,17,98,Pašilės,3068,1719
204,17,99,Knygnešių,2595,1274
205,17,101,Palemono,3618,1608
206,17,111,Nemuno,2030,955
207,17,114,Šilo,3225,1511
208,17,116,Buriuotojų,4354,1964
209,18,29,Birutės,3093,1784
210,18,30,Julijanavos,2129,1085
211,18,31,Piliakalnio,2638,1352
212,18,105,Sodų,3618,1615
213,18,106,Šančių,2277,1066
